index,三维坐标X,三维坐标Y,三维坐标Z,位移场DY
605,17.7361,44.2408,1039.73,0.538383
606,18.6309,44.2587,1039.97,0.54312
607,19.5265,44.2752,1040.22,0.546745
608,20.4215,44.2891,1040.46,0.550643
609,21.3176,44.2958,1040.76,0.554893
610,22.2134,44.3026,1041.06,0.559571
611,23.1109,44.3098,1041.35,0.564244
612,24.0082,44.3166,1041.64,0.569159
613,24.9061,44.323,1041.93,0.574323
614,25.8048,44.3292,1042.22,0.579279
615,26.7023,44.3375,1042.51,0.582554
616,27.6,44.329,1042.75,0.587492
617,28.4957,44.3121,1042.96,0.590509
618,37.5448,44.426,1046.47,0.646119
619,38.4379,44.4263,1046.44,0.649565
620,39.3392,44.4275,1046.64,0.654833
621,40.2443,44.437,1046.88,0.65953
622,41.151,44.441,1047.17,0.664157
623,42.0592,44.4476,1047.47,0.669061
624,42.9674,44.4541,1047.76,0.67421
625,43.8766,44.4603,1048.05,0.679219
