index,三维坐标X,三维坐标Y,三维坐标Z,位移场DX
12636,-6.69108,-55.2964,1029.01,-0.47133
12637,-5.81186,-55.3179,1029.33,-0.471032
12638,-4.93194,-55.3399,1029.65,-0.470588
12639,-4.05138,-55.3615,1029.96,-0.470023
12640,-3.17021,-55.3831,1030.28,-0.469417
12641,-2.28794,-55.4045,1030.6,-0.468244
12642,7.44436,-55.6367,1034.19,-0.465249
12643,8.33298,-55.6694,1034.52,-0.464455
12644,9.22246,-55.6951,1034.8,-0.463009
12645,10.1127,-55.7164,1035.1,-0.461542
12646,11.0029,-55.7385,1035.39,-0.460468
12647,11.8935,-55.7601,1035.71,-0.459932
12648,12.7847,-55.7821,1036.03,-0.459391
12649,13.6767,-55.804,1036.35,-0.458485
12650,14.5696,-55.8262,1036.67,-0.457312
12651,15.4623,-55.8491,1036.99,-0.456929
12652,16.3556,-55.8709,1037.31,-0.456384
12653,17.2503,-55.8907,1037.62,-0.455029
12654,18.1433,-55.9087,1037.9,-0.455577
12655,27.1338,-56.0929,1041.8,-0.454176
12656,28.0254,-56.1342,1041.74,-0.453212
12657,28.9228,-56.1766,1041.88,-0.451735
12658,29.8239,-56.2059,1042.15,-0.450674
12659,30.7264,-56.2311,1042.45,-0.449547
12660,31.63,-56.2536,1042.77,-0.448699
12661,32.5345,-56.2756,1043.09,-0.447431
12662,33.439,-56.2979,1043.42,-0.446799
12663,34.3445,-56.3203,1043.74,-0.445773
12664,35.2505,-56.3428,1044.06,-0.444754
12665,36.1566,-56.3639,1044.38,-0.444184
12666,37.0638,-56.3868,1044.7,-0.443123
12667,47.0972,-56.7033,1048.83,-0.440775
12668,47.9969,-56.688,1048.81,-0.440698
12669,48.9055,-56.6947,1048.99,-0.440511
12670,49.8173,-56.7061,1049.22,-0.438966
12671,50.7332,-56.7283,1049.55,-0.438407
12672,51.6499,-56.7512,1049.87,-0.437454
12673,52.5671,-56.7739,1050.19,-0.436681
12674,53.485,-56.7963,1050.51,-0.435711
12675,54.4035,-56.8187,1050.84,-0.434775
12676,55.3222,-56.8413,1051.16,-0.434055
12677,56.2407,-56.8589,1051.45,-0.432699
12678,57.1575,-56.866,1051.73,-0.432892
12679,67.3421,-57.1242,1055.71,-0.427067
12680,68.2521,-57.1514,1055.75,-0.426897
12681,69.1734,-57.1797,1055.99,-0.427894
12682,70.1022,-57.2027,1056.31,-0.426604
12683,71.0317,-57.2251,1056.63,-0.425816
12684,71.9613,-57.2487,1056.95,-0.425247
12685,72.8911,-57.2716,1057.27,-0.424908
12686,73.8223,-57.2958,1057.6,-0.424347
12687,74.7534,-57.3188,1057.92,-0.424055
12688,75.6832,-57.3401,1058.21,-0.423829
12689,76.6187,-57.3705,1058.56,-0.422443
12690,77.5515,-57.4035,1058.89,-0.422601
12691,-28.5052,-55.631,1021.05,-0.487723
12692,-27.6387,-55.6521,1021.36,-0.486695
12693,-26.7715,-55.6734,1021.68,-0.485599
12694,-25.9044,-55.6943,1021.99,-0.485084
12695,-25.0366,-55.7157,1022.31,-0.484401
12696,-24.1683,-55.7368,1022.63,-0.483708
12697,-23.2994,-55.7583,1022.94,-0.483073
12698,-22.4307,-55.779,1023.26,-0.483113
12699,-21.5607,-55.8037,1023.58,-0.482111
12700,-20.6945,-55.8313,1023.89,-0.485966
12701,-11.9559,-56.0468,1027.05,-0.474018
12702,-11.0847,-56.0672,1027.39,-0.478349
12703,-10.2063,-56.0905,1027.67,-0.476409
12704,-9.32922,-56.1099,1028,-0.476012
12705,-8.45164,-56.1298,1028.35,-0.475441
12706,-7.57349,-56.1525,1028.67,-0.475103
12707,-6.69482,-56.1743,1028.99,-0.474798
12708,-5.81582,-56.1964,1029.3,-0.474708
12709,-4.93591,-56.2185,1029.62,-0.474261
12710,-4.05543,-56.2408,1029.94,-0.473777
12711,-3.17442,-56.2624,1030.26,-0.473322
12712,-2.29218,-56.2842,1030.58,-0.472189
12713,7.43644,-56.527,1034.09,-0.472244
12714,8.32728,-56.5388,1034.49,-0.469847
12715,9.21812,-56.5694,1034.78,-0.467101
12716,10.1083,-56.5974,1035.08,-0.465693
12717,10.9985,-56.6225,1035.37,-0.464529
12718,11.8892,-56.6444,1035.69,-0.463903
12719,12.7806,-56.6666,1036.01,-0.463094
12720,13.6727,-56.6887,1036.33,-0.462226
12721,14.5656,-56.7114,1036.65,-0.461008
12722,15.4584,-56.7345,1036.97,-0.460474
12723,16.3516,-56.7567,1037.29,-0.460077
12724,17.2467,-56.7762,1037.6,-0.458272
12725,18.1398,-56.7948,1037.88,-0.458671
12726,27.1312,-57.0618,1041.76,-0.455181
12727,28.0202,-57.0628,1041.64,-0.455778
12728,28.9193,-57.0791,1041.87,-0.455025
12729,29.82,-57.1013,1042.14,-0.454473
12730,30.7223,-57.1216,1042.43,-0.45354
12731,31.626,-57.1444,1042.76,-0.452545
12732,32.5303,-57.1669,1043.08,-0.451503
12733,33.435,-57.1893,1043.4,-0.450667
12734,34.3403,-57.2116,1043.72,-0.44973
12735,35.2464,-57.2344,1044.04,-0.448769
12736,36.1525,-57.2567,1044.36,-0.448131
12737,37.0598,-57.2773,1044.68,-0.446993
12738,47.0916,-57.6132,1048.75,-0.440911
12739,47.9906,-57.576,1048.72,-0.44409
12740,48.9013,-57.5849,1048.95,-0.443858
12741,49.8136,-57.602,1049.21,-0.44299
12742,50.7295,-57.625,1049.54,-0.442339
12743,51.6464,-57.6482,1049.86,-0.441268
12744,52.5636,-57.6713,1050.18,-0.440526
12745,53.4815,-57.6942,1050.51,-0.439512
12746,54.4004,-57.7165,1050.83,-0.438229
12747,55.3189,-57.7402,1051.15,-0.437769
12748,56.237,-57.7598,1051.44,-0.43671
12749,57.1542,-57.7743,1051.72,-0.436478
12750,67.3324,-58.0575,1055.59,-0.430605
12751,68.2483,-58.0559,1055.74,-0.431094
12752,69.1709,-58.0806,1056,-0.431835
12753,70.099,-58.1052,1056.3,-0.43074
12754,71.0285,-58.128,1056.63,-0.429936
12755,71.9581,-58.1521,1056.95,-0.42942
12756,72.8879,-58.1751,1057.27,-0.429121
12757,73.8193,-58.1999,1057.59,-0.42832
12758,74.7504,-58.2233,1057.91,-0.428065
12759,75.6791,-58.2457,1058.21,-0.42895
12760,76.6157,-58.2749,1058.55,-0.426076
12761,77.5468,-58.3206,1058.84,-0.425364
12762,-28.5092,-56.5025,1021.02,-0.491705
12763,-27.6428,-56.5241,1021.33,-0.490717
12764,-26.7758,-56.545,1021.65,-0.489798
