index,三维坐标X,三维坐标Y,三维坐标Z,LAG_应变Exx
409,78.8532,47.4192,1059.37,-0.00076114
410,79.7802,47.4175,1059.61,-0.000515706
411,80.7109,47.4306,1059.9,-0.000361615
412,81.6434,47.4381,1060.2,-0.000146465
413,82.577,47.4451,1060.5,1.30482e-05
414,83.5108,47.453,1060.79,0.000128137
415,84.4448,47.4604,1061.09,0.000177611
416,85.3797,47.4666,1061.39,9.02753e-05
417,86.3153,47.4739,1061.69,-4.35731e-05
418,-28.0616,45.6556,1024.31,1.50276e-06
419,-27.1934,45.6624,1024.6,7.12068e-05
420,-26.3245,45.669,1024.9,7.12832e-05
421,-25.4552,45.6766,1025.2,5.35489e-05
422,-24.5853,45.6836,1025.5,2.98361e-05
423,-23.7148,45.6914,1025.8,7.42389e-06
424,-22.8441,45.6987,1026.09,-1.14026e-05
425,-21.973,45.7062,1026.39,-3.63096e-05
426,-21.1011,45.7142,1026.69,-4.78492e-05
427,-20.2289,45.7217,1026.99,-5.96605e-05
428,-19.3564,45.7285,1027.29,-7.32474e-05
429,-18.4832,45.7353,1027.58,-6.79065e-05
430,-17.6095,45.743,1027.88,-6.17977e-05
431,-16.7352,45.75,1028.18,-4.84157e-05
432,-15.8606,45.7572,1028.47,-5.27026e-05
433,-14.9852,45.7649,1028.77,-8.61288e-05
434,-14.1092,45.7718,1029.07,-0.000106788
435,-13.233,45.7793,1029.37,-0.000129299
436,-12.3558,45.7826,1029.64,-0.000160662
437,-1.79443,45.8866,1033.29,0.000304617
438,-0.911638,45.8998,1033.54,0.000200519
439,-0.0292152,45.8995,1033.8,0.000140179
440,0.854753,45.9022,1034.08,8.78046e-05
441,1.73976,45.9086,1034.37,3.91468e-05
442,2.62475,45.9159,1034.67,4.42341e-05
443,3.51091,45.9234,1034.96,0.000544015
444,4.39722,45.9316,1035.26,0.000736021
445,5.28373,45.9394,1035.55,0.00101658
446,6.17167,45.9471,1035.86,0.00170191
447,7.06031,45.9556,1036.18,0.00254761
448,7.94999,45.9653,1036.58,0.00384709
449,18.6453,46.0627,1040.13,-0.000809802
450,19.5365,46.0618,1040.29,-0.000493702
451,20.4314,46.0663,1040.5,-0.00042767
452,21.3277,46.0748,1040.79,-0.000373051
453,22.2238,46.0823,1041.09,-0.000383829
454,23.1212,46.09,1041.38,-0.000372464
455,24.0184,46.0974,1041.67,-0.0003756
456,24.9163,46.1045,1041.96,-0.000461789
457,25.8147,46.111,1042.25,-0.000513119
458,26.7117,46.1146,1042.51,-0.000609199
459,27.6084,46.0979,1042.72,-0.000742866
460,37.5698,46.2637,1046.81,-0.00166017
461,38.4601,46.2499,1046.73,-0.00147767
462,39.3515,46.2185,1046.67,-0.00114505
463,40.2567,46.2257,1046.91,-0.00082902
464,41.1618,46.2309,1047.2,-0.000743724
465,42.0703,46.2376,1047.49,-0.000580147
466,42.9784,46.244,1047.78,-0.000254957
467,43.8876,46.2513,1048.07,-0.000110029
468,44.7971,46.2587,1048.36,-0.000102844
469,45.7071,46.2658,1048.65,-9.94273e-05
470,46.6176,46.267,1048.92,-0.00019158
471,47.5258,46.2635,1049.14,-0.000261028
472,48.4318,46.2585,1049.33,-0.000412908
473,57.6232,46.3608,1053.15,0.000433006
474,58.5273,46.3807,1053.19,0.000300966
475,59.4305,46.3836,1053.22,0.000162046
476,60.34,46.3721,1053.35,0.000140426
477,61.2595,46.38,1053.65,8.68047e-05
478,62.1799,46.3869,1053.95,9.86863e-05
479,63.1005,46.3939,1054.24,0.00010863
480,64.0224,46.4005,1054.54,8.96957e-05
481,64.9445,46.4064,1054.83,0.000150807
482,65.8668,46.4129,1055.13,0.000216432
483,66.7898,46.4227,1055.38,0.000347695
484,67.7158,46.4313,1055.69,0.000558134
485,77.9413,46.536,1059.4,-0.000796322
486,78.8507,46.5149,1059.42,-0.000629105
487,79.7755,46.5157,1059.61,-0.000414009
488,80.7049,46.5256,1059.89,-0.000311656
489,81.6377,46.5336,1060.19,-0.000141437
490,82.5708,46.5405,1060.49,-7.82105e-06
491,83.5044,46.5486,1060.79,9.6936e-05
492,84.4385,46.5553,1061.09,0.000142764
493,85.3736,46.5618,1061.39,6.271e-05
494,86.3087,46.5684,1061.69,-5.46633e-05
495,-28.0648,44.7798,1024.28,5.14152e-07
496,-27.1966,44.7867,1024.58,5.84457e-05
497,-26.3276,44.7931,1024.88,5.75074e-05
498,-25.4583,44.8007,1025.18,3.77222e-05
499,-24.5884,44.8078,1025.47,1.374e-05
500,-23.7184,44.8148,1025.77,-8.2327e-06
501,-22.8478,44.8218,1026.07,-2.64549e-05
502,-21.9767,44.8292,1026.37,-4.81715e-05
503,-21.105,44.8364,1026.67,-5.53579e-05
504,-20.2329,44.8432,1026.96,-6.41363e-05
505,-19.3604,44.8499,1027.26,-7.70811e-05
506,-18.487,44.8565,1027.56,-7.39507e-05
507,-17.6133,44.8639,1027.86,-6.86361e-05
508,-16.7389,44.8708,1028.15,-5.97276e-05
509,-15.8641,44.8778,1028.45,-7.20293e-05
510,-14.989,44.8858,1028.75,-0.000111708
511,-14.1131,44.8923,1029.04,-0.000134226
512,-13.237,44.8995,1029.34,-0.000145713
513,-12.3597,44.9047,1029.62,-0.000130018
514,-1.79988,45.0004,1033.21,0.000223303
515,-0.916799,45.0087,1033.49,0.000165208
516,-0.0337346,45.0126,1033.77,0.000125869
517,0.850361,45.0179,1034.06,7.22544e-05
518,1.73531,45.0241,1034.35,1.64351e-05
519,2.62026,45.0318,1034.64,1.61338e-05
520,3.50633,45.039,1034.94,0.000514695
521,4.39258,45.0467,1035.23,0.00078302
522,5.27896,45.0542,1035.53,0.00108991
523,6.16671,45.0626,1035.84,0.00156574
524,7.05476,45.0704,1036.15,0.00289342
525,7.94406,45.0799,1036.53,0.00522189
526,18.6365,45.1541,1040.04,-0.00077745
527,19.5316,45.1665,1040.26,-0.000561239
528,20.4265,45.1765,1040.49,-0.000463612
529,21.3225,45.1854,1040.78,-0.000396312
530,22.2185,45.1923,1041.07,-0.000382308
531,23.1157,45.1998,1041.36,-0.000361081
532,24.0132,45.2068,1041.65,-0.000355729
533,24.9111,45.2134,1041.95,-0.000427665
534,25.8097,45.2196,1042.23,-0.000457927
535,26.7071,45.2227,1042.5,-0.000490718
536,27.6045,45.2114,1042.74,-0.000589303
537,37.5587,45.3276,1046.69,-0.00168514
538,38.4466,45.3214,1046.52,-0.00126389
539,39.3455,45.3179,1046.65,-0.00103141
540,40.2509,45.328,1046.9,-0.000847303
541,41.1563,45.3358,1047.19,-0.000670438
542,42.0646,45.3426,1047.48,-0.000499129
543,42.9729,45.3491,1047.77,-0.000233383
544,43.882,45.3563,1048.06,-8.9674e-05
545,44.7917,45.3632,1048.35,-7.42547e-05
546,45.7016,45.3701,1048.64,-6.86792e-05
547,46.6123,45.3746,1048.9,-0.000154091
548,47.5207,45.3554,1049.12,-0.000296245
549,48.4258,45.3198,1049.28,-0.000490476
550,57.6149,45.4675,1053.1,0.000249404
551,58.5185,45.4764,1053.13,0.000109643
552,59.4231,45.4822,1053.18,8.41808e-05
553,60.3347,45.472,1053.34,7.14546e-05
554,61.2545,45.4792,1053.64,4.81998e-05
555,62.1742,45.4862,1053.94,7.93653e-05
556,63.0946,45.4929,1054.24,0.000104974
557,64.0163,45.4996,1054.53,0.000101129
558,64.9386,45.5055,1054.83,0.000177365
559,65.8613,45.5119,1055.13,0.000231185
560,66.7843,45.5261,1055.38,0.000255191
561,67.7099,45.5269,1055.68,0.000409845
562,77.9304,45.5915,1059.37,-0.000637174
563,78.8452,45.6004,1059.43,-0.000438112
564,79.7691,45.6121,1059.6,-0.000324245
565,80.699,45.6213,1059.89,-0.000291708
566,81.6314,45.6284,1060.19,-0.000143865
567,82.5647,45.6351,1060.49,-2.97867e-05
568,83.4984,45.6428,1060.79,6.9668e-05
569,84.4325,45.6499,1061.09,0.000111206
570,85.3674,45.6564,1061.38,3.68611e-05
