index,三维坐标X,三维坐标Y,三维坐标Z,位移场DY
611,-11.8399,42.7749,1029.78,0.416261
612,-10.9623,42.7845,1030.08,0.421224
613,-10.0841,42.7944,1030.39,0.426322
614,-9.20519,42.8063,1030.66,0.431737
615,-8.325,42.8195,1030.98,0.437778
616,-4.8018,42.8426,1032.23,0.461553
617,-3.92109,42.846,1032.53,0.465204
618,-3.0396,42.8442,1032.8,0.467792
619,-2.15784,42.8474,1033.09,0.471635
620,-1.27457,42.8515,1033.35,0.474368
621,-0.391122,42.8548,1033.64,0.478119
622,0.492869,42.8619,1033.93,0.48259
623,1.37693,42.8688,1034.22,0.487685
624,2.26173,42.8751,1034.51,0.492404
625,3.14719,42.882,1034.8,0.497725
626,4.03216,42.8874,1035.1,0.502666
627,4.91825,42.8938,1035.39,0.507157
628,5.8036,42.9007,1035.68,0.511734
