index,三维坐标X,三维坐标Y,三维坐标Z,LAG_应变Exx
475,82.187,45.1872,1060.26,-2.77565e-05
476,83.1204,45.1934,1060.56,-3.82806e-05
477,84.0543,45.2007,1060.86,-3.11553e-05
478,84.9887,45.2076,1061.16,6.05692e-06
479,85.9235,45.2139,1061.46,4.48494e-06
480,86.8593,45.2201,1061.77,-7.38945e-05
481,-20.5816,43.5942,1026.82,4.8148e-05
482,-19.7091,43.5998,1027.13,2.16864e-05
483,-18.836,43.6065,1027.43,1.60074e-05
484,-17.9624,43.6134,1027.73,-1.35352e-06
485,-17.0888,43.6179,1028.03,-3.54175e-05
486,-16.2143,43.6239,1028.33,-6.82573e-05
487,-15.3398,43.6304,1028.62,-8.34367e-05
488,-14.4639,43.6366,1028.92,-8.5768e-05
489,-13.5882,43.6435,1029.22,-8.63259e-05
490,-12.7122,43.6507,1029.51,-8.03882e-05
491,-11.8352,43.6553,1029.81,-5.85575e-05
492,-10.9577,43.6652,1030.09,-6.01011e-05
493,-10.0793,43.6757,1030.4,-3.24172e-05
494,-9.20041,43.6821,1030.67,7.63161e-06
495,-8.32079,43.6909,1030.99,-3.01644e-05
496,-7.44045,43.6973,1031.28,-4.77318e-05
497,-6.56073,43.7067,1031.59,-5.86817e-05
498,-5.67955,43.7214,1031.91,4.90583e-05
499,-4.79822,43.7245,1032.21,0.000105368
500,-3.91715,43.7302,1032.52,0.000203326
501,-3.03584,43.7389,1032.79,0.000290489
502,-2.15362,43.7417,1033.09,0.000317764
503,-1.27011,43.7409,1033.37,0.000266213
504,-0.386926,43.7411,1033.65,0.000190934
505,0.497061,43.7461,1033.94,0.000122727
506,1.38126,43.7525,1034.24,-9.77671e-06
507,2.26603,43.7592,1034.53,-0.000110957
508,3.15166,43.7657,1034.83,-0.000232806
509,4.03668,43.7725,1035.12,-0.000267937
510,4.92273,43.7789,1035.41,-0.00032543
511,5.80845,43.7862,1035.71,-0.000323189
512,6.69573,43.7893,1036,-0.000284214
513,7.58354,43.7953,1036.29,-0.000283872
514,8.47202,43.8008,1036.59,-0.000308022
515,9.36029,43.8058,1036.86,-0.000290731
516,10.2508,43.8115,1037.18,-0.000274509
517,11.1405,43.8268,1037.44,-0.000269991
518,12.0306,43.8435,1037.73,-0.000284021
519,12.9221,43.8555,1038.03,-0.000237541
520,13.8134,43.8627,1038.29,-0.000114584
521,14.7052,43.8684,1038.59,-0.000118659
522,15.5975,43.8745,1038.89,-0.000125078
523,16.4901,43.8782,1039.19,-0.000174568
524,17.3851,43.8785,1039.48,-0.000238624
525,18.2785,43.8774,1039.77,-0.000345784
526,19.1728,43.8819,1040.07,-0.000398981
527,20.0675,43.8888,1040.36,-0.000452383
528,20.9625,43.893,1040.65,-0.000486588
529,21.8584,43.9003,1040.94,-0.000530186
530,22.7543,43.9052,1041.24,-0.000521699
531,23.6512,43.9114,1041.53,-0.000455836
532,24.5487,43.9171,1041.83,-0.000451271
533,25.4469,43.9239,1042.12,-0.000418588
534,26.3452,43.9309,1042.41,-0.000397314
535,27.2439,43.9362,1042.7,-0.000370134
536,28.1435,43.9425,1042.99,-0.000337052
537,29.0436,43.9499,1043.28,-0.000327505
538,29.9444,43.959,1043.57,-0.000307577
539,30.845,43.9686,1043.84,-0.000299021
540,31.7478,43.9816,1044.16,-0.00031736
541,32.6499,43.9902,1044.44,-0.000360294
542,33.5516,43.9949,1044.73,-0.00036885
543,34.4553,44.0053,1045.01,-0.000403703
544,35.3584,44.0046,1045.3,-0.000470548
545,36.2632,44.0092,1045.61,-0.000506219
546,37.167,44.0082,1045.88,-0.000542064
547,38.0717,44.0074,1046.18,-0.000552784
548,38.9772,44.0164,1046.47,-0.000554753
549,39.8831,44.0227,1046.76,-0.00051237
550,40.7895,44.0287,1047.04,-0.000482739
551,41.697,44.0353,1047.33,-0.000467993
