index,三维坐标X,三维坐标Y,三维坐标Z,位移场DX
318,48.0768,45.868,1049.4,-0.0266671
319,48.9881,45.8738,1049.69,-0.0274884
320,49.9002,45.8793,1049.98,-0.0279469
321,50.8137,45.8845,1050.27,-0.0276873
322,51.7267,45.8907,1050.55,-0.0282721
323,52.6408,45.8967,1050.84,-0.0284872
324,53.5559,45.902,1051.13,-0.0284053
325,54.4707,45.9072,1051.42,-0.0288678
326,55.3861,45.9128,1051.7,-0.0289996
327,56.3016,45.9178,1051.99,-0.029671
328,57.2191,45.9247,1052.28,-0.029567
329,58.1364,45.9297,1052.57,-0.0297131
330,59.0548,45.9368,1052.87,-0.0299305
331,59.9721,45.9428,1053.16,-0.0311979
332,60.8917,45.9501,1053.46,-0.031627
333,61.8115,45.9564,1053.75,-0.031803
334,62.7317,45.9636,1054.05,-0.0323348
335,63.6528,45.9699,1054.35,-0.032526
336,64.5745,45.9762,1054.65,-0.0327776
337,65.4961,45.9823,1054.94,-0.0332839
338,66.419,45.9889,1055.24,-0.0337256
339,67.3425,45.9966,1055.54,-0.0338692
340,68.2664,46.002,1055.84,-0.034061
341,69.1906,46.0082,1056.13,-0.0343275
342,70.1154,46.014,1056.42,-0.0345613
343,71.0413,46.0199,1056.71,-0.0342744
344,71.968,46.0269,1057.01,-0.0341804
345,72.8945,46.0321,1057.31,-0.0344367
346,73.8221,46.038,1057.61,-0.034386
347,74.7495,46.0434,1057.9,-0.0350908
348,75.6783,46.0505,1058.2,-0.0349437
349,76.6068,46.0572,1058.49,-0.0355448
350,77.5368,46.0636,1058.79,-0.0351936
351,78.4666,46.069,1059.08,-0.0353175
352,79.3971,46.0748,1059.37,-0.0356404
353,80.3297,46.0821,1059.67,-0.034957
354,81.2615,46.0882,1059.97,-0.0353001
355,82.1938,46.0933,1060.27,-0.0358615
356,83.1275,46.0995,1060.57,-0.0357806
357,84.0611,46.1063,1060.87,-0.0362725
358,84.996,46.1136,1061.17,-0.0364022
359,85.9308,46.1201,1061.47,-0.0369636
360,86.8662,46.1261,1061.78,-0.0375618
361,-20.5777,44.4708,1026.85,-0.000674921
362,-19.7053,44.477,1027.15,-0.000740917
363,-18.8323,44.4841,1027.46,-0.000803191
364,-17.9586,44.4915,1027.76,-0.000775211
365,-17.0849,44.4962,1028.06,-0.00109998
366,-16.2104,44.5024,1028.36,-0.00131934
367,-15.3354,44.5089,1028.65,-0.00157896
368,-14.4597,44.5153,1028.95,-0.00153889
369,-13.5839,44.5229,1029.25,-0.00196193
370,-12.7078,44.5305,1029.54,-0.00256948
371,-11.8306,44.5374,1029.84,-0.00258244
372,-10.9532,44.5436,1030.13,-0.00308093
373,-10.076,44.5488,1030.43,-0.00389713
374,-9.19713,44.556,1030.71,-0.00388145
375,-8.31822,44.5646,1031.01,-0.00423333
376,-7.43774,44.5731,1031.31,-0.00344562
377,-6.55809,44.5776,1031.61,-0.00388382
378,-5.67706,44.5837,1031.92,-0.00339761
379,-4.79527,44.5929,1032.21,-0.0029322
380,-3.91356,44.6008,1032.52,-0.00294396
381,-3.032,44.6051,1032.81,-0.00353044
382,-2.15005,44.6103,1033.1,-0.00428759
383,-1.2666,44.6162,1033.38,-0.00409556
384,-0.383584,44.6232,1033.68,-0.00482788
385,0.500469,44.6303,1033.97,-0.00502677
386,1.38461,44.6373,1034.27,-0.00565264
387,2.26969,44.6451,1034.55,-0.00585135
388,3.15551,44.6515,1034.85,-0.0058076
389,4.04117,44.6586,1035.14,-0.00644549
390,4.92765,44.6654,1035.44,-0.00673468
391,5.81372,44.6729,1035.73,-0.00796752
392,6.70123,44.6786,1036.02,-0.00817909
393,7.58886,44.6834,1036.31,-0.00878296
394,8.47758,44.6898,1036.61,-0.00884398
395,9.36627,44.6964,1036.9,-0.00941766
396,10.2563,44.7019,1037.2,-0.00923801
397,11.146,44.7078,1037.48,-0.00962043
398,12.0354,44.7172,1037.76,-0.0110802
399,12.9266,44.7199,1038.05,-0.0109951
400,13.818,44.7272,1038.34,-0.0113856
401,14.7096,44.7341,1038.63,-0.0120988
402,15.6016,44.7423,1038.92,-0.0129086
403,16.4945,44.749,1039.21,-0.0134023
404,17.3899,44.7554,1039.51,-0.0120371
405,18.2837,44.7648,1039.81,-0.0127588
406,19.1782,44.7716,1040.09,-0.0130594
407,20.0732,44.7779,1040.38,-0.0134668
408,20.9687,44.7834,1040.67,-0.0138192
409,21.8647,44.7902,1040.96,-0.0142887
410,22.7604,44.7944,1041.25,-0.0154006
411,23.6566,44.8014,1041.54,-0.0167264
412,24.554,44.8081,1041.84,-0.0174376
413,25.4521,44.8157,1042.13,-0.0178513
414,26.3505,44.8221,1042.42,-0.0185063
415,27.249,44.8276,1042.71,-0.0194576
416,28.1488,44.8351,1043,-0.0198044
417,29.0491,44.8418,1043.29,-0.0198662
418,29.9502,44.8473,1043.59,-0.0199923
419,30.8515,44.8572,1043.88,-0.0203585
420,31.7533,44.8614,1044.17,-0.0206452
421,32.6554,44.8681,1044.45,-0.0211538
422,33.5579,44.8744,1044.75,-0.0218189
423,34.4612,44.8807,1045.04,-0.022197
424,35.3646,44.8866,1045.32,-0.0228611
425,36.2683,44.8909,1045.61,-0.0236417
426,37.1733,44.899,1045.9,-0.0241244
427,38.078,44.9053,1046.19,-0.0251513
428,38.9831,44.9108,1046.48,-0.0263209
429,39.8889,44.9167,1046.77,-0.0272781
430,40.7954,44.9226,1047.05,-0.0279075
431,41.7032,44.9294,1047.34,-0.0281149
432,42.6109,44.9348,1047.64,-0.0289252
433,43.5199,44.9409,1047.93,-0.0290545
434,44.4294,44.9472,1048.22,-0.0290123
435,45.3384,44.9533,1048.51,-0.0301254
436,46.2491,44.9601,1048.81,-0.0303248
437,47.1596,44.9653,1049.1,-0.0310825
438,48.0703,44.971,1049.39,-0.0319191
439,48.9813,44.9764,1049.68,-0.0330647
440,49.8934,44.983,1049.97,-0.0335937
441,50.8065,44.9898,1050.26,-0.0338518
442,51.7197,44.9961,1050.55,-0.0342268
443,52.6332,45.0019,1050.84,-0.0350688
444,53.5483,45.0075,1051.13,-0.0349225
445,54.4628,45.0136,1051.42,-0.0357752
446,55.3778,45.0182,1051.7,-0.0359926
447,56.2935,45.0222,1051.98,-0.036431
448,57.211,45.0287,1052.27,-0.0360517
449,58.1289,45.0335,1052.56,-0.0358063
450,59.0472,45.0392,1052.85,-0.0358322
451,59.9648,45.0449,1053.14,-0.0367408
452,60.8843,45.0508,1053.45,-0.0372885
453,61.8042,45.0575,1053.74,-0.037344
454,62.7244,45.0642,1054.04,-0.0378192
455,63.6452,45.0702,1054.34,-0.0383715
456,64.5668,45.0761,1054.63,-0.0386788
457,65.4889,45.0824,1054.93,-0.0388798
458,66.4118,45.0891,1055.23,-0.0393504
459,67.3352,45.096,1055.53,-0.0395516
460,68.2598,45.1006,1055.83,-0.0392744
461,69.1842,45.1065,1056.12,-0.0394302
462,70.1089,45.1124,1056.42,-0.0397344
463,71.0344,45.1177,1056.71,-0.0398009
464,71.9611,45.1234,1057.01,-0.0397311
465,72.8871,45.1291,1057.3,-0.0402834
466,73.8144,45.1357,1057.59,-0.0402443
467,74.7416,45.1412,1057.89,-0.040878
468,75.6706,45.1479,1058.18,-0.0404912
469,76.5993,45.1543,1058.48,-0.0408363
470,77.5289,45.1596,1058.77,-0.0406963
471,78.4587,45.1646,1059.06,-0.040592
472,79.3905,45.1699,1059.36,-0.0404964
473,80.3228,45.176,1059.66,-0.0400541
474,81.2546,45.1821,1059.96,-0.040489
475,82.187,45.1872,1060.26,-0.0408604
476,83.1204,45.1934,1060.56,-0.0408841
477,84.0543,45.2007,1060.86,-0.0414519
478,84.9887,45.2076,1061.16,-0.0418319
479,85.9235,45.2139,1061.46,-0.0422318
480,86.8593,45.2201,1061.77,-0.0425331
481,-20.5816,43.5942,1026.82,-0.00505082
482,-19.7091,43.5998,1027.13,-0.00501495
483,-18.836,43.6065,1027.43,-0.00497296
484,-17.9624,43.6134,1027.73,-0.00503887
485,-17.0888,43.6179,1028.03,-0.00540616
486,-16.2143,43.6239,1028.33,-0.00552837
487,-15.3398,43.6304,1028.62,-0.00628842
488,-14.4639,43.6366,1028.92,-0.00603402
489,-13.5882,43.6435,1029.22,-0.00658711
490,-12.7122,43.6507,1029.51,-0.00720163
491,-11.8352,43.6553,1029.81,-0.00736368
492,-10.9577,43.6652,1030.09,-0.0078459
493,-10.0793,43.6757,1030.4,-0.00763535
494,-9.20041,43.6821,1030.67,-0.00765593
495,-8.32079,43.6909,1030.99,-0.00711312
496,-7.44045,43.6973,1031.28,-0.00642398
497,-6.56073,43.7067,1031.59,-0.00693966
498,-5.67955,43.7214,1031.91,-0.00660135
499,-4.79822,43.7245,1032.21,-0.00634336
500,-3.91715,43.7302,1032.52,-0.00684667
501,-3.03584,43.7389,1032.79,-0.00795654
502,-2.15362,43.7417,1033.09,-0.00829117
503,-1.27011,43.7409,1033.37,-0.00775385
504,-0.386926,43.7411,1033.65,-0.00803238
505,0.497061,43.7461,1033.94,-0.00819393
506,1.38126,43.7525,1034.24,-0.00872821
507,2.26603,43.7592,1034.53,-0.00917818
508,3.15166,43.7657,1034.83,-0.00929142
509,4.03668,43.7725,1035.12,-0.0105326
510,4.92273,43.7789,1035.41,-0.0112229
511,5.80845,43.7862,1035.71,-0.0127723
512,6.69573,43.7893,1036,-0.0131178
513,7.58354,43.7953,1036.29,-0.0135545
514,8.47202,43.8008,1036.59,-0.0138171
515,9.36029,43.8058,1036.86,-0.0145869
516,10.2508,43.8115,1037.18,-0.0140514
517,11.1405,43.8268,1037.44,-0.0146255
518,12.0306,43.8435,1037.73,-0.0157271
519,12.9221,43.8555,1038.03,-0.0158954
520,13.8134,43.8627,1038.29,-0.0160548
521,14.7052,43.8684,1038.59,-0.0165473
522,15.5975,43.8745,1038.89,-0.0170953
523,16.4901,43.8782,1039.19,-0.017912
524,17.3851,43.8785,1039.48,-0.0164026
525,18.2785,43.8774,1039.77,-0.0170532
526,19.1728,43.8819,1040.07,-0.0176054
527,20.0675,43.8888,1040.36,-0.0183598
528,20.9625,43.893,1040.65,-0.0191125
529,21.8584,43.9003,1040.94,-0.0197177
530,22.7543,43.9052,1041.24,-0.0207252
531,23.6512,43.9114,1041.53,-0.0212323
532,24.5487,43.9171,1041.83,-0.021797
533,25.4469,43.9239,1042.12,-0.0221872
534,26.3452,43.9309,1042.41,-0.0228378
535,27.2439,43.9362,1042.7,-0.0236165
536,28.1435,43.9425,1042.99,-0.0240235
537,29.0436,43.9499,1043.28,-0.0245312
538,29.9444,43.959,1043.57,-0.0250146
539,30.845,43.9686,1043.84,-0.025334
540,31.7478,43.9816,1044.16,-0.025907
541,32.6499,43.9902,1044.44,-0.0261925
542,33.5516,43.9949,1044.73,-0.0275312
543,34.4553,44.0053,1045.01,-0.0275428
544,35.3584,44.0046,1045.3,-0.0280548
545,36.2632,44.0092,1045.61,-0.0288081
546,37.167,44.0082,1045.88,-0.029043
547,38.0717,44.0074,1046.18,-0.0300596
548,38.9772,44.0164,1046.47,-0.0310296
549,39.8831,44.0227,1046.76,-0.0319737
550,40.7895,44.0287,1047.04,-0.0327532
551,41.697,44.0353,1047.33,-0.0331282
552,42.6046,44.0407,1047.62,-0.034006
553,43.5136,44.0468,1047.91,-0.0339935
554,44.423,44.0525,1048.2,-0.0339933
555,45.3321,44.0581,1048.49,-0.0350105
556,46.2429,44.0644,1048.79,-0.0351689
557,47.1531,44.0688,1049.09,-0.0360947
558,48.0639,44.0747,1049.38,-0.0369207
559,48.9746,44.0806,1049.67,-0.0382889
560,49.8863,44.0878,1049.95,-0.0389751
561,50.7997,44.0946,1050.25,-0.0393303
562,51.7132,44.1014,1050.54,-0.0396951
563,52.6256,44.1049,1050.82,-0.0407595
564,53.5413,44.1106,1051.13,-0.0406155
565,54.456,44.1153,1051.41,-0.0412071
566,55.3716,44.1179,1051.7,-0.0414023
567,56.2869,44.1209,1051.98,-0.0418718
568,57.2042,44.1254,1052.27,-0.0414479
569,58.1226,44.1328,1052.57,-0.0413502
570,59.0403,44.1394,1052.85,-0.0415958
571,59.9584,44.1454,1053.14,-0.0421006
572,60.8777,44.1512,1053.44,-0.0428232
573,61.7976,44.1574,1053.74,-0.0428363
574,62.7178,44.1645,1054.03,-0.043173
575,63.6391,44.1706,1054.33,-0.0432593
576,64.5605,44.1764,1054.63,-0.0436775
577,65.4828,44.1819,1054.93,-0.0439233
578,66.4053,44.1884,1055.22,-0.0443547
579,67.3285,44.1954,1055.52,-0.0446136
580,68.2528,44.2002,1055.82,-0.0444928
581,69.1766,44.2053,1056.11,-0.0448746
